minecraft_version,fabric_api_version,loader_version,loom_version,loom_plugin_id,mappings_mode
26.2,0.155.2+26.2,0.19.3,1.16.3,net.fabricmc.fabric-loom,none
26.1.2,0.155.2+26.1.2,0.19.3,1.16.3,net.fabricmc.fabric-loom,none
26.1.1,0.145.4+26.1.1,0.19.3,1.16.3,net.fabricmc.fabric-loom,none
26.1,0.145.1+26.1,0.19.3,1.16.3,net.fabricmc.fabric-loom,none
1.21.11,0.141.5+1.21.11,0.17.2,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.21.10,0.138.4+1.21.10,0.17.2,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.21.9,0.134.1+1.21.9,0.17.2,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.21.8,0.133.4+1.21.8,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.21.7,0.129.0+1.21.7,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.21.6,0.128.2+1.21.6,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.21.5,0.126.0+1.21.5,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.21.4,0.119.3+1.21.4,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.21.1,0.116.14+1.21.1,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.20.6,0.100.8+1.20.6,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.20.5,0.97.8+1.20.5,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.20.4,0.97.3+1.20.4,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
1.20.1,0.92.11+1.20.1,0.16.14,1.16.3,net.fabricmc.fabric-loom-remap,mojang
